id,name,englishName,category,categoryId,definition,example,manifestation,counterStrategy
"16","诉诸荒谬","Appeal to Ridicule","诉诸情感","emotion","将对手的观点以荒谬的形式表现出来以进行打击。","“对上帝的信仰就如同相信有圣诞老人和牙仙一样。”","借助滑稽鬼脸、冷嘲热讽、轻佻模仿或极端荒诞的对比引诱听众哄笑，从而回避针对核心证据的严肃辩论。","“嘲弄和逗乐无法充当有效论据。请收起戏剧化的讥讽修辞，针对对方论据中提出的具体事实作出正面回应。”"
"17","诉诸仇恨","Appeal to Spite","诉诸情感","emotion","因为个人偏见而对某一事实或看法不屑一顾。","“富二代搞慈善？算了吧，反正还不是在做秀。”","由于对某一群体的既定厌恶、阶层偏见或过节，连带全盘否定对方所做出的一切正面举措与客观贡献。","对事不对人。善行即使动机存在多元考量，其在现实中拯救病患或助学的客观成效依然具有真实的正面价值。"
"18","一厢情愿","Wishful Thinking","诉诸情感","emotion","认为一件事是真的或假的，仅仅因为你情愿想当然。","“领袖是不会犯错的。他是人民的救星。”","“只要项目赶工上线就一定能创造上亿流水”、“他现在对我冷淡，但心里一定深爱着我”，将主观愿望当成必然规律。","愿望再美好也无法干预物理定律或市场规律。清晰划分“主观渴望”与“客观概率”的界限。"
"19","轶事证据","Anecdotal Evidence","错误推论","deduction","对系统性研究下得出的证据视而不见，反而集中在手头的个例上。","“我才不戒烟呢。我爷爷每天抽两包烟，还活到了90岁！”","“身边即世界”。用亲戚邻居的个案经历去否定成千上万例科学严谨的大样本流行病学统计结论。","个例极易受到幸存者偏差与隐藏变量影响。在现代统计科学中，只有双盲随机对照实验与大样本数据才具有结论性价值。"
"20","合成谬误","Composition","错误推论","deduction","推断一群人的特性或信条也代表了整个团体。","“最近的恐怖袭击是由激进的伊斯兰教徒组织的。因此所有的恐怖分子都是穆斯林。”","剧场效应：每个人站起来看戏能看清楚，由此推出“只要大家都站起来，大家就都能看清楚”。","系统的宏观整体特征不等于微观局部特征的简单算术叠加。局部的个体最优往往导致整体的宏观灾难。"
"21","分割谬误","Division","错误推论","deduction","将整个团体的特性或信条自动代入到每一名成员的头上。","“苹果的产品向来颠覆传统，设计一流。下一款也一定如此。”","“这家跨国巨头技术实力雄厚，所以它里面的每个程序员水平肯定都超越中小公司总监”。","整体的卓越是体系协作与制度分工的产物，并不自动且均质地流淌到组织中的每一个具体零部件或个体身上。"
"22","设计谬误","Design Fallacy","错误推论","deduction","因为某样东西设计精美，视效上佳，所以更加站得住脚。","“这份商业计划书排版极为高大上，动画流畅，因此这家初创公司绝对大有前途。”","被精雕细琢的PPT动画、酷炫的看板UI或昂贵的宣传册所迷惑，降低对项目真实财务数据与技术壁垒的警惕性。","严格解耦“视觉表现力”与“内核真实性”。排版装潢只承担信息承载功能，再漂亮的设计也无法拯救漏洞百出的商业逻辑。"
"23","赌徒谬误","Gambler's Fallacy","错误推论","deduction","认为历史结果会影响未来独立事件的结果。","“我已经连续丢了10次硬币，都是正面朝上。因此下一次更可能丢出反面来。”","赌场连开10次大之后疯狂买小；彩票连续未中之后认定大数定律即将“补偿”自己而持续追加本金。","独立随机事件之间互不干涉。抛硬币没有记忆系统，哪怕前面已经连续抛出100次正面，第101次的概率依然是毫无波动的50%。"
"24","轻率概化","Hasty Generalization","错误推论","deduction","从单一的样本得出概括性的宏观结论。","“我被前面的女驾驶员别了下。女人就是不能开车。”","在外地遭遇一次黑心出租车司机，立即向亲友宣称“那个城市的人全都极度刁蛮奸诈”。","极小样本只能证明该个案本身的发生，在统计学上根本无权外推至全局。任何全称概括都需要足够的样本量与随机对照检验。"
"25","妄下定论","Jumping to Conclusions","错误推论","deduction","没有公平考虑所有相关（且易举证的）事实，就妄下结论。","“她想要医疗保险报销避孕药？真是个私生活不检点的女人。”","仅凭吉光片羽的片面事实（如避孕药常被妇科医生用于调节多囊卵巢激素失衡），便脑补完整罪案动机并展开道德讨伐。","保持悬置判断与审慎怀疑。在做出评判前自问：“事实全貌是否已经全部浮出水面？是否存在其他合乎常理的动机和解释？”"
"26","中间立场","Middle Ground","错误推论","deduction","相冲突的两个观点似乎都有道理，那么答案一定在两者的中间地带。","“我追尾了你的车，但我认为自己不该出修理费。你认为我该出所有的修理费。合乎情理的方案就是平分费用。”","“各打五十大板”式和稀泥。一个人说2+2=4，另一个人恶意叫嚣2+2=6，调解人裁定2+2=5才算双方各退一步。","折中不等于真理。居心不良的一方常通过提出极端荒谬的要求，诱导中间派以此为基准妥协出偏向自己的结果。"
"27","完美主义谬误","Perfectionist Fallacy","错误推论","deduction","认为只有完美的成功才是可行的选择，从而反对任何低于预期的方案。","“这反酒驾的宣传究竟有什么用？人们还是会醉酒驾车的。”","“安全带既然不能在100%的时速撞击中保命，系安全带就是徒劳”、“环保减排不能瞬间实现零排放，因此不如干脆别管”。","“不要让完美成为优秀的敌人。”能够挽救80%生命的务实措施，远胜过因为无法做到100%而躺平弃疗的虚无主义。"
"28","相对论谬误","Relativist Fallacy","错误推论","deduction","否定某样客观事实，认为事实是相对一个或一群人而言的。","“那对你来说可能是对的。但对我来说不是。”","将客观可反复检验的物理定律、医学常识或财务收支赤字，降格为“你的视角不同”、“这只是你的个人价值观”。","严格划分主观价值偏好（如吃甜还是咸）与客观物质规律（如引力与守恒定律）。世界客观规律不因任何人的个人愿望而转移。"
"29","以偏概全","Overgeneralization","错误推论","deduction","认为从局部小样本观察到的规律，同样无条件适用于整体。","“这家大型制鞋商在血汗工厂里雇用童工。所以所有跨国企业都是吸血资本家。”","抓住某个子系统或下属分支的恶劣丑闻，直接武断给整个系统、行业或品牌判处全面死刑。","审查样本量与分布。厘清究竟是制度设计上的普遍系统性恶行，还是执行末梢的偶发违规事件，不可简单一刀切。"
"30","一概而论","Sweeping Generalization","错误推论","deduction","宽泛地应用一般性原则，忽视特殊情境与例外。","“那些年轻人暴乱是因为他们缺失有道德观念的父亲。”","教条化套用宏观格言（如“不听老人言吃亏在眼前”或“任何情况下绝不能说谎”），无视极端危机情况下的现实伦理边界。","普遍性原则皆有其假定前提与适用边界。面对复杂的现实多因素问题，切忌用单一公式搞一刀切。"
"31","中词不周延","Undistributed Middle","错误推论","deduction","因两件事有一个共通点，那么他们就是同一回事。","“理论是尚未证实的观点。科学家用‘进化论’这一词，可见进化是未被证实的。”","“鸭子会游泳，企鹅也会游泳，所以企鹅就是鸭子。”利用中词共享的某项非排他属性，强行等同两者概念。","运用形式逻辑检验三段论。两个对象共享某一外部属性，绝不意味着两者在概念内涵与外延上完全等价。"
"32","临阵救援","Ad Hoc Rescue","操纵内容","content","通过不断修改论据，搪塞问题，来保全自己的一贯主张。","“……但除了更好的卫生，医药，教育，灌溉，公共卫生，道路，净水系统和公共秩序……罗马人为我们做过了什么？”","“移动球门”。当既定预言被事实当场击溃时，声称“是因为灵力受到外界干扰”，持续打补丁以免认错。","指出对方正在无休止地更改预先约定的检验标准。预设一个完全不受现实检验约束的假设，已完全失去理性求真的意义。"
"33","一孔之见","Biased Sample","操纵内容","content","用不具代表性的样本所推导的结论，来支持自己的论点。","“我们的网上调查表示，90%的互联网用户反对网络隐私法。”","在技术极客论坛组织投票并将其当作全民态度；在春运绿皮车车厢询问“大家今年买到票了吗”得出人人都能买到票。","检验样本源的代表性与独立性。当样本群体本身具备强烈的自我筛选机制时，其调查结果仅对该群体内部有效。"
"34","确认偏误","Confirmation Bias","操纵内容","content","挑拣对自己有利的证据，而故意无视相冲突的矛盾证据。","“很明显911事件是美国政府为了合理化伊拉克与阿富汗战争而发动的阴谋。没有飞机撞上五角大楼，双子塔的倒塌是控制爆破……等等。”","沉迷阴谋论或星座占卜者，对偶尔撞对的一句描述津津乐道，对完全与事实南辕北辙的大量反例则熟视无睹。","主动实施“证伪测试”：“如果你的论断是错的，现实中会出现什么？请试着对这些相抵触的客观事实做出合理解释。”"
"35","伪二分法","False Dilemma","操纵内容","content","隐藏其它可能性，将两个对立的观点看作仅有的选择。","“我们要么就得削减教育预算，要么就得负更多的债。我们不能负更多的债了，所以我们非降低教育预算不可。”","非黑即白极化思维：“你既然不完全赞同我的方案，你就是敌对势力的走狗”、“要么立刻投降，要么彻底灭亡”。","提出隐藏的中间路线与新解法：“为什么世界只剩下这两个极端选项？我们是否能够进行税制改革或盘活闲置资产？”"
"36","谎言","The Big Lie","操纵内容","content","彻头彻尾的谎言，被作为真相一再重复。","“我没有和那个女人发生性关系。”","戈培尔效应：“谎言重复千遍就成了真理”。凭借绝对的传播资源倾斜，通过机械式海量轰炸掩埋真相。","不被洗脑式的高频重复带偏节奏。直接调取最底层的客观司法物证、财务账目及独立交叉调查记录进行铁证对质。"
"37","误导性鲜活个案","Misleading Vividness","操纵内容","content","用生动的细节来描述一次小概率事件，以让别人相信这是一个普遍严重的问题。","“在法院判决同性婚姻合法化之后，学校图书馆被要求备有同性文学作品，小学生会读到同性恋的童话故事，甚至有明确支持同性恋的手册。”","媒体对极罕见空难或医疗意外进行长达数周、充满血腥细节的感官轰炸，诱发公众产生普遍失衡的安全恐慌。","用冷静透明的统计大盘数据对抗戏剧化情绪冲击。生动的情节只负责刺激感官，并不代表其在现实中的发生概率升高。"
"38","转移注意","Red Herring","操纵内容","content","将毫不相干的话题引入辩论，以干扰视线并导向不同的结论。","“参议员不需要为他开销的异常做出说明。毕竟，有些参议员做的破事儿比这严重多了。”","被质疑公司偷税漏税时，高管突然大谈公司在乡村小学援建中付出了多少泪水；抛出“红鲱鱼”气味引开猎犬注意力。","牢牢锁死辩题主线：“公益善行值得肯定，但我们现在正在核查的是具体的财务账目缺口。请正面回答眼前的财务问题。”"
"39","滑坡谬误","Slippery Slope","操纵内容","content","认为开始的一小步会无可避免地引发一串相关（负面）的极端事件。","“如果我们允许大麻合法化，更多的人就会开始吸食毒品和海洛因。到那时候我们就得也合法化那些毒品！”","“今天员工迟到5分钟不罚款，明天大家就会集体旷工，下个月整个公司就会彻底倒闭破产”。","拆解多米诺骨牌的每一环：“从A走到Z之间存在无数道制度门槛与干预机制，对方所谓的‘无可避免’依据何在？”"
"40","隐瞒证据","Suppressed Evidence","操纵内容","content","有意不用相关且重要的信息，因为那对立于自己的既定结论。","“炒菜产生的油烟是PM2.5的重要来源，所以要治理雾霾，中国就得少做菜。”","“挑樱桃（Cherry-picking）”。只展示某药在特定轻微病症中的一小项好转指标，死死隐瞒另五项严重的肝肾毒副作用报告。","遵循归纳逻辑的“全证据原则”（Principle of Total Evidence），要求公开完整的背景口径与全量实验数据，坚决拒绝碎片化偏袒。"
"41","无法证伪","Unfalsifiability","操纵内容","content","提出一个从原理上根本无法被证伪的观点，因为无法加以检验。","“我提出的这套命理预言是绝对神准的。如果不灵验，那肯定是因为你心不够诚或时辰记错了。”","断言房间里有一只隐形、无气味、不发出任何热量且免疫一切物理仪器探测的巨龙；任何试图反驳的实验都会被其定义为无效。","波普尔证伪主义：一个在任何情况下都无法被潜在经验事实反驳的命题，属于闭门自圆其说，不具备实证科学探讨价值。"
"42","肯定后件","Affirming the Consequent","因果错乱","causality","认为对你所观察到的现象只有一种解释。","“婚姻会带来孩子的降生。所以这（生孩子）就是其存在的唯一理由。”","若下雨（P）则地湿（Q）；现在看到地湿（Q），便草率咬定刚才肯定下雨了（P）（忽视了洒水车、融雪等其他原因）。","严查充分条件与必要条件。“P能导致Q，并不意味着只有P才能导致Q。Q成立绝不能反证P必然发生。”"
"43","循环逻辑","Circular Logic","因果错乱","causality","论证的前提里已经蕴含了结论本身。","“《圣经》上说上帝存在。由于圣经是神的话，圣经必然正确。所以上帝是绝对存在的。”","“王经理的话必须无条件执行，因为他是权威；你怎么知道他是权威？因为他的话大家都必须执行。”","刺破套套逻辑（Tautology）：“你拿来当支撑论据的前提，其实就是你要证明的最终结论，逻辑上在原地兜圈子。”"
"44","相关即因果","Correlation Proves Causation","因果错乱","causality","认为两个一起发生的事件一定有因果关系。（关联性 = 因果性）","“小混混们听主题暴力的饶舌音乐。所以饶舌音乐会造成青少年的暴力行为。”","雪糕销量与溺水死亡率同步升高，得出“吃雪糕会溺水”的荒谬结论（实为主因是炎炎夏日人们既爱吃冷饮又爱下水游泳）。","“相关不等于因果”。必须控制混杂变量（Confounding Variable），并明确证明两者之间的实际生理或物理作用路径。"
"45","否定前件","Denying the Antecedent","因果错乱","causality","有这样的结果并非只有一个解释。因此，在这样的情况下从结果反推原因是不准确的。","“如果你读了好学校，你就会找到好工作。如果你没读好学校，你就绝对找不到好工作。”","如果你是小偷（P），你就会心虚（Q）；你不是小偷（非P），所以你绝不会心虚（非Q）（完全可能因性格内向而心虚紧张）。","形式逻辑推理规则：否定充分条件的前提，无法必然推出结论被否定。通往Q的结果往往有多种不同的途径。"
"46","忽视主因","Ignoring a Common Cause","因果错乱","causality","声称是某事件导致了后果，而实际上另一件（意料之外）的事才是真正原因。","“60年代我们开始了性解放运动，而现在人们正死于艾滋。”","声称发烧导致了患者脉搏加快，忽视了背后是致命的流感病毒感染同时独立引发了高烧与心动过速。","深入挖掘深层母因。两个同步变化的表象事件，很可能只是受同一个幕后根源驱动的平行伴生结果。"
"47","前后即因果","Post Hoc Ergo Propter Hoc","因果错乱","causality","因为一件事是在另一件事之后发生的，因此也是由那件事引起的。","“新总统上台之后，失业人数创了历史新高。所以是总统阻碍了经济发展。”","吃了感冒药第7天感冒康复，认定是药片治好了感冒（实际上普通病毒性感冒即使不吃药自愈周期也是7天）。","时间上的先后继发绝对不等于事实上的因果传导。必须排除经济周期的滞后效应或自然衰减规律。"
"48","积非成是","Two Wrongs Make a Right","因果错乱","causality","认为一桩错事能被另一桩错事所抵消。","“不错——这监狱环境恶劣又没人性，不过关的本来就是罪犯嘛！”","“刚才有人闯红灯你怎么不管，凭什么单挑我罚？”、“对手公司也搞恶意抹黑，所以我们雇水军造谣是合理的”。","两个错误拼凑不出一个正义。他人的失范或违法绝不能成为自身践踏规则与法治底线的免罪符。"
"49","人身攻击","Ad Hominem","攻击谬误","attack","绕开论证，针对辩论者本身发起不相干的攻击。","“你以为自己是生物学专家吗，也好意思来教我们转基因食品的事？”","无法在数据或逻辑上驳倒对方时，恼羞成怒转而攻击发言者的学历、相貌、过往私德、口音或穿戴品味。","“即便我不是专家，我引用的这组实验数据来自《自然》同行评议期刊。请放下人身评价，正面辩驳数据本身。”"
"50","举证责任","Burden of Proof","攻击谬误","attack","我不需要证明我说得正确——你必须证明它是错的。","“我坚持认为长期的太阳活动周期是全球变暖的原因。证明我错了啊！”","“罗素的火星茶壶”。凭空断言某个离奇假设，强迫质疑者拿出证据证明其不存在，若质疑者拿不出就宣称自己正确。","“谁主张，谁举证。非同寻常的主张必须提供非同寻常的证据。举证的责任永远落在做出肯定断言的一方身上。”"
"51","身份主观","Circumstantial Ad Hominem","攻击谬误","attack","认为一个论断不可信，因为支持者与之有利害关系。","“研究手机对健康影响的这个调研有手机公司参与。所以，研究结果不可信。”","“你替新能源车发声，肯定是拿了车企公关费，你给出的电池损耗报告全都是假的”。","利益相关性需要促使我们提高核验标准，但不可直接取代科学反驳。应当核查该研究是否经受独立机构的盲测与复现。"
"52","基因谬误","Genetic Fallacy","攻击谬误","attack","攻击一个论点的来源历史或出处，而非它的实质内容。","“这本书是1967年出版的，里面说的东西哪还有价值。”","“大众甲壳虫是二战法西斯政权下令研发的，因此买甲壳虫的人都有不良倾向”。用出身血统论取代当代客观评估。","清晰解耦“概念的历史发端环境”与“概念当下的有效性”。现代医学许多成果也源于粗糙萌芽，真伪只取决于当下的实证。"
"53","罪恶关联","Guilt by Association","攻击谬误","attack","通过将一个论点与形象不良的人群联系起来，从而破坏其可信度。","“哦，你想要放松反恐条例，就像那帮恐怖分子想要的一样。所以你是支持恐怖主义的咯？”","“希特勒也是个不抽烟的素食主义者，所以支持素食就是同情纳粹魔头”。借大众对特定历史恶魔的厌恶搞猎巫株连。","恶人也需要喝水呼吸。观点的真伪取决于其公理前提与事实推导，绝不取决于曾经有哪些恶棍碰巧持有类似主张。"
"54","稻草人谬误","Straw Man","攻击谬误","attack","歪曲或简化你对手的论点，以攻击之。","甲：“国家应该投入更多的预算来发展教育行业。” 乙：“你这么不爱国，居然想减少国防开支，让外国列强有机可乘！”","“我说要强化食品安全法治审查，你就说我想让全部中小饭馆破产断炊”。刻意树立一个极端脆弱的假靶子狂轰滥炸。","当场揭穿稻草人花招并正本清源：“我主张的是优化结构支持教育，从未提出削减国防预算。请勿虚构稻草人，正面回答教育议题。”"
